,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
6673,decreasing,psnr,20,5,1024,classic,1,1,0,10.0,28.151094436645508,28.174222946166992,28.13453865051269,28.145187377929688
6674,decreasing,psnr,20,5,1024,classic,1,1,0,15.0,24.609546661376957,24.570674896240234,24.620895385742188,24.61707878112793
6675,decreasing,psnr,20,5,1024,classic,1,1,0,20.0,22.11874771118164,22.08565330505371,22.12281036376953,22.10689926147461
6676,decreasing,psnr,20,5,1024,classic,1,1,0,25.0,20.165979385375977,20.18851089477539,20.17232322692871,20.16183090209961
6677,decreasing,psnr,20,5,1024,classic,1,1,0,50.0,14.143638610839844,14.114883422851562,14.14825439453125,14.1427001953125
6678,decreasing,psnr,20,5,1024,classic,1,1,0,75.0,10.656364440917969,10.649433135986328,10.611988067626951,10.641128540039062
6679,decreasing,psnr,20,5,1024,classic,1,1,0,100.0,8.187976837158203,8.091243743896484,8.151844024658203,8.129562377929688
6680,decreasing,psnr,20,5,1024,noconstraints,0,0,0,1.0,48.19924545288086,47.76685333251953,48.12049102783203,48.18408584594727
6681,decreasing,psnr,20,5,1024,noconstraints,0,0,0,2.0,42.12791442871094,42.12829208374024,42.13893127441406,42.22139739990234
6682,decreasing,psnr,20,5,1024,noconstraints,0,0,0,5.0,34.265777587890625,34.13928985595703,34.21564483642578,34.28893280029297
6683,decreasing,psnr,20,5,1024,noconstraints,0,0,0,10.0,28.216983795166016,28.181129455566406,28.19364547729492,28.262908935546875
6684,decreasing,psnr,20,5,1024,noconstraints,0,0,0,15.0,24.702247619628903,24.652597427368164,24.66590690612793,24.70698928833008
6685,decreasing,psnr,20,5,1024,noconstraints,0,0,0,20.0,22.2152042388916,22.0779972076416,22.153812408447266,22.193988800048828
6686,decreasing,psnr,20,5,1024,noconstraints,0,0,0,25.0,20.23814582824707,20.193777084350582,20.22002601623535,20.235973358154297
